"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Dustin\Documents\DevProjects\Z+\js\file.js", "JavaScript", 132, 0, 39, 46, 217
"c:\Users\Dustin\Documents\DevProjects\Z+\js\main.js", "JavaScript", 340, 0, 56, 47, 443
"c:\Users\Dustin\Documents\DevProjects\Z+\js\modules\vanilla-picker.csp.css", "CSS", 0, 1, 0, 0, 1
"c:\Users\Dustin\Documents\DevProjects\Z+\js\modules\vanilla-picker.js", "JavaScript", 841, 0, 7, 164, 1012
"c:\Users\Dustin\Documents\DevProjects\Z+\js\object-editor.js", "JavaScript", 20, 0, 0, 5, 25
"c:\Users\Dustin\Documents\DevProjects\Z+\js\palette.js", "JavaScript", 99, 0, 10, 20, 129
"c:\Users\Dustin\Documents\DevProjects\Z+\js\player.js", "JavaScript", 237, 0, 53, 59, 349
"c:\Users\Dustin\Documents\DevProjects\Z+\js\sprite-editor.js", "JavaScript", 316, 0, 30, 32, 378
"c:\Users\Dustin\Documents\DevProjects\Z+\js\sprite-sheet.js", "JavaScript", 34, 0, 4, 7, 45
"c:\Users\Dustin\Documents\DevProjects\Z+\js\sprite.js", "JavaScript", 84, 0, 25, 16, 125
"c:\Users\Dustin\Documents\DevProjects\Z+\js\toolbar.js", "JavaScript", 129, 0, 19, 25, 173
"c:\Users\Dustin\Documents\DevProjects\Z+\js\webgl.js", "JavaScript", 118, 0, 16, 30, 164
"Total", "-", 2350, 1, 259, 451, 3061
